;PWL;TYPE;L2 English;L3 German;L4 French;L5 Swedish;L6 Danish;L7 Norwegian;L8 Finnish;L9 Italian;L10;L11;L12;L13;L14
g_MCfg.Inlet.Vaccum.FanCleaningPieces;49;0;[T] Inlet:VaccumFanCleaningPieces;[T] Inlet:VaccumFanCleaningPieces;[T] Inlet:VaccumFanCleaningPieces;[T] Inlet:VaccumFanCleaningPieces;[T] Inlet:VaccumFanCleaningPieces;[T] Inlet:VaccumFanCleaningPieces;[T] Inlet:VaccumFanCleaningPieces;[T] Inlet:VaccumFanCleaningPieces;[T] Inlet:VaccumFanCleaningPieces;[T] Inlet:VaccumFanCleaningPieces;[T] Inlet:VaccumFanCleaningPieces;[T] Inlet:VaccumFanCleaningPieces;[T] Inlet:VaccumFanCleaningPieces
g_MCfg.Deloading.dwPos;50;0;[T] Deloading:dwPos;[T] Deloading:dwPos;[T] Deloading:dwPos;[T] Deloading:dwPos;[T] Deloading:dwPos;[T] Deloading:dwPos;[T] Deloading:dwPos;[T] Deloading:dwPos;[T] Deloading:dwPos;[T] Deloading:dwPos;[T] Deloading:dwPos;[T] Deloading:dwPos;[T] Deloading:dwPos
g_MCfg.Deloading.upPos;51;0;[T] Deloading:upPos;[T] Deloading:upPos;[T] Deloading:upPos;[T] Deloading:upPos;[T] Deloading:upPos;[T] Deloading:upPos;[T] Deloading:upPos;[T] Deloading:upPos;[T] Deloading:upPos;[T] Deloading:upPos;[T] Deloading:upPos;[T] Deloading:upPos;[T] Deloading:upPos
g_MCfg.Deloading.speedUp;52;0;[T] Deloading:speedUp;[T] Deloading:speedUp;[T] Deloading:speedUp;[T] Deloading:speedUp;[T] Deloading:speedUp;[T] Deloading:speedUp;[T] Deloading:speedUp;[T] Deloading:speedUp;[T] Deloading:speedUp;[T] Deloading:speedUp;[T] Deloading:speedUp;[T] Deloading:speedUp;[T] Deloading:speedUp
g_MCfg.Deloading.speedDw;53;0;[T] Deloading:speedDw;[T] Deloading:speedDw;[T] Deloading:speedDw;[T] Deloading:speedDw;[T] Deloading:speedDw;[T] Deloading:speedDw;[T] Deloading:speedDw;[T] Deloading:speedDw;[T] Deloading:speedDw;[T] Deloading:speedDw;[T] Deloading:speedDw;[T] Deloading:speedDw;[T] Deloading:speedDw
g_MCfg.Deloading.accUp;54;0;[T] Deloading:accUp;[T] Deloading:accUp;[T] Deloading:accUp;[T] Deloading:accUp;[T] Deloading:accUp;[T] Deloading:accUp;[T] Deloading:accUp;[T] Deloading:accUp;[T] Deloading:accUp;[T] Deloading:accUp;[T] Deloading:accUp;[T] Deloading:accUp;[T] Deloading:accUp
g_MCfg.Deloading.decUp;55;0;[T] Deloading:decUp;[T] Deloading:decUp;[T] Deloading:decUp;[T] Deloading:decUp;[T] Deloading:decUp;[T] Deloading:decUp;[T] Deloading:decUp;[T] Deloading:decUp;[T] Deloading:decUp;[T] Deloading:decUp;[T] Deloading:decUp;[T] Deloading:decUp;[T] Deloading:decUp
g_MCfg.Deloading.accDw;56;0;[T] Deloading:accDw;[T] Deloading:accDw;[T] Deloading:accDw;[T] Deloading:accDw;[T] Deloading:accDw;[T] Deloading:accDw;[T] Deloading:accDw;[T] Deloading:accDw;[T] Deloading:accDw;[T] Deloading:accDw;[T] Deloading:accDw;[T] Deloading:accDw;[T] Deloading:accDw
g_MCfg.Deloading.decDw;57;0;[T] Deloading:decDw;[T] Deloading:decDw;[T] Deloading:decDw;[T] Deloading:decDw;[T] Deloading:decDw;[T] Deloading:decDw;[T] Deloading:decDw;[T] Deloading:decDw;[T] Deloading:decDw;[T] Deloading:decDw;[T] Deloading:decDw;[T] Deloading:decDw;[T] Deloading:decDw
g_MCfg.Deloading.DeloadDelayTime;58;0;[T] Deloading:DeloadDelayTime;[T] Deloading:DeloadDelayTime;[T] Deloading:DeloadDelayTime;[T] Deloading:DeloadDelayTime;[T] Deloading:DeloadDelayTime;[T] Deloading:DeloadDelayTime;[T] Deloading:DeloadDelayTime;[T] Deloading:DeloadDelayTime;[T] Deloading:DeloadDelayTime;[T] Deloading:DeloadDelayTime;[T] Deloading:DeloadDelayTime;[T] Deloading:DeloadDelayTime;[T] Deloading:DeloadDelayTime
g_MCfg.Deloading.HangerInPlateTime;59;0;[T] Deloading:HangerInPlateTime;[T] Deloading:HangerInPlateTime;[T] Deloading:HangerInPlateTime;[T] Deloading:HangerInPlateTime;[T] Deloading:HangerInPlateTime;[T] Deloading:HangerInPlateTime;[T] Deloading:HangerInPlateTime;[T] Deloading:HangerInPlateTime;[T] Deloading:HangerInPlateTime;[T] Deloading:HangerInPlateTime;[T] Deloading:HangerInPlateTime;[T] Deloading:HangerInPlateTime;[T] Deloading:HangerInPlateTime
g_MCfg.Deloading.HangerClampDelay;60;0;[T] Deloading:HangerClampDelay;[T] Deloading:HangerClampDelay;[T] Deloading:HangerClampDelay;[T] Deloading:HangerClampDelay;[T] Deloading:HangerClampDelay;[T] Deloading:HangerClampDelay;[T] Deloading:HangerClampDelay;[T] Deloading:HangerClampDelay;[T] Deloading:HangerClampDelay;[T] Deloading:HangerClampDelay;[T] Deloading:HangerClampDelay;[T] Deloading:HangerClampDelay;[T] Deloading:HangerClampDelay
g_MCfg.Deloading.HangerResetDelay;61;0;[T] Deloading:HangerResetDelay;[T] Deloading:HangerResetDelay;[T] Deloading:HangerResetDelay;[T] Deloading:HangerResetDelay;[T] Deloading:HangerResetDelay;[T] Deloading:HangerResetDelay;[T] Deloading:HangerResetDelay;[T] Deloading:HangerResetDelay;[T] Deloading:HangerResetDelay;[T] Deloading:HangerResetDelay;[T] Deloading:HangerResetDelay;[T] Deloading:HangerResetDelay;[T] Deloading:HangerResetDelay
g_MCfg.Deloading.HangerResetTime;62;0;[T] Deloading:HangerResetTime;[T] Deloading:HangerResetTime;[T] Deloading:HangerResetTime;[T] Deloading:HangerResetTime;[T] Deloading:HangerResetTime;[T] Deloading:HangerResetTime;[T] Deloading:HangerResetTime;[T] Deloading:HangerResetTime;[T] Deloading:HangerResetTime;[T] Deloading:HangerResetTime;[T] Deloading:HangerResetTime;[T] Deloading:HangerResetTime;[T] Deloading:HangerResetTime
g_MCfg.Deloading.StartLiftTime;63;0;[T] Deloading:StartLiftTime;[T] Deloading:StartLiftTime;[T] Deloading:StartLiftTime;[T] Deloading:StartLiftTime;[T] Deloading:StartLiftTime;[T] Deloading:StartLiftTime;[T] Deloading:StartLiftTime;[T] Deloading:StartLiftTime;[T] Deloading:StartLiftTime;[T] Deloading:StartLiftTime;[T] Deloading:StartLiftTime;[T] Deloading:StartLiftTime;[T] Deloading:StartLiftTime
g_MCfg.Deloading.PressResetTime;64;0;[T] Deloading:PressResetTime;[T] Deloading:PressResetTime;[T] Deloading:PressResetTime;[T] Deloading:PressResetTime;[T] Deloading:PressResetTime;[T] Deloading:PressResetTime;[T] Deloading:PressResetTime;[T] Deloading:PressResetTime;[T] Deloading:PressResetTime;[T] Deloading:PressResetTime;[T] Deloading:PressResetTime;[T] Deloading:PressResetTime;[T] Deloading:PressResetTime
g_MCfg.Deloading.HangerSlideOutTime;65;0;[T] Deloading:HangerSlideOutTime;[T] Deloading:HangerSlideOutTime;[T] Deloading:HangerSlideOutTime;[T] Deloading:HangerSlideOutTime;[T] Deloading:HangerSlideOutTime;[T] Deloading:HangerSlideOutTime;[T] Deloading:HangerSlideOutTime;[T] Deloading:HangerSlideOutTime;[T] Deloading:HangerSlideOutTime;[T] Deloading:HangerSlideOutTime;[T] Deloading:HangerSlideOutTime;[T] Deloading:HangerSlideOutTime;[T] Deloading:HangerSlideOutTime
g_MCfg.Deloading.NextHangerTime;66;0;[T] Deloading:NextHangerTime;[T] Deloading:NextHangerTime;[T] Deloading:NextHangerTime;[T] Deloading:NextHangerTime;[T] Deloading:NextHangerTime;[T] Deloading:NextHangerTime;[T] Deloading:NextHangerTime;[T] Deloading:NextHangerTime;[T] Deloading:NextHangerTime;[T] Deloading:NextHangerTime;[T] Deloading:NextHangerTime;[T] Deloading:NextHangerTime;[T] Deloading:NextHangerTime
g_MCfg.Deloading.TwoStepsPjamaOpening;67;0;[F] Deloading:Pajamas 2 steps opening;[F] Deloading:Pajamas 2 steps opening;[F] Deloading:Pajamas 2 steps opening;[F] Deloading:Pajamas 2 steps opening;[F] Deloading:Pajamas 2 steps opening;[F] Deloading:Pajamas 2 steps opening;[F] Deloading:Pajamas 2 steps opening;[F] Deloading:Pajamas 2 steps opening;[F] Deloading:Pajamas 2 steps opening;[F] Deloading:Pajamas 2 steps opening;[F] Deloading:Pajamas 2 steps opening;[F] Deloading:Pajamas 2 steps opening;[F] Deloading:Pajamas 2 steps opening
g_MCfg.Deloading.PajamasStopPos;68;0;[T] Deloading:PajamasMotor Stop position;[T] Deloading:PajamasMotor Stop position;[T] Deloading:PajamasMotor Stop position;[T] Deloading:PajamasMotor Stop position;[T] Deloading:PajamasMotor Stop position;[T] Deloading:PajamasMotor Stop position;[T] Deloading:PajamasMotor Stop position;[T] Deloading:PajamasMotor Stop position;[T] Deloading:PajamasMotor Stop position;[T] Deloading:PajamasMotor Stop position;[T] Deloading:PajamasMotor Stop position;[T] Deloading:PajamasMotor Stop position;[T] Deloading:PajamasMotor Stop position
g_MCfg.Deloading.PajamasStopPos2;69;0;[T] Deloading:PajamasMotor 2nd Stop position;[T] Deloading:PajamasMotor 2nd Stop position;[T] Deloading:PajamasMotor 2nd Stop position;[T] Deloading:PajamasMotor 2nd Stop position;[T] Deloading:PajamasMotor 2nd Stop position;[T] Deloading:PajamasMotor 2nd Stop position;[T] Deloading:PajamasMotor 2nd Stop position;[T] Deloading:PajamasMotor 2nd Stop position;[T] Deloading:PajamasMotor 2nd Stop position;[T] Deloading:PajamasMotor 2nd Stop position;[T] Deloading:PajamasMotor 2nd Stop position;[T] Deloading:PajamasMotor 2nd Stop position;[T] Deloading:PajamasMotor 2nd Stop position
g_MCfg.Deloading.PajamasRestartDelay;70;0;[T] Deloading:PajamasRestartDelay;[T] Deloading:PajamasRestartDelay;[T] Deloading:PajamasRestartDelay;[T] Deloading:PajamasRestartDelay;[T] Deloading:PajamasRestartDelay;[T] Deloading:PajamasRestartDelay;[T] Deloading:PajamasRestartDelay;[T] Deloading:PajamasRestartDelay;[T] Deloading:PajamasRestartDelay;[T] Deloading:PajamasRestartDelay;[T] Deloading:PajamasRestartDelay;[T] Deloading:PajamasRestartDelay;[T] Deloading:PajamasRestartDelay
g_MCfg.Deloading.PajamePreBreakingTime;71;0;[T] Deloading:PajamePreBreakingTime;[T] Deloading:PajamePreBreakingTime;[T] Deloading:PajamePreBreakingTime;[T] Deloading:PajamePreBreakingTime;[T] Deloading:PajamePreBreakingTime;[T] Deloading:PajamePreBreakingTime;[T] Deloading:PajamePreBreakingTime;[T] Deloading:PajamePreBreakingTime;[T] Deloading:PajamePreBreakingTime;[T] Deloading:PajamePreBreakingTime;[T] Deloading:PajamePreBreakingTime;[T] Deloading:PajamePreBreakingTime;[T] Deloading:PajamePreBreakingTime
g_MCfg.Deloading.InvertOutletFree;72;0;[T] Deloading:InvertOutletFree;[T] Deloading:InvertOutletFree;[T] Deloading:InvertOutletFree;[T] Deloading:InvertOutletFree;[T] Deloading:InvertOutletFree;[T] Deloading:InvertOutletFree;[T] Deloading:InvertOutletFree;[T] Deloading:InvertOutletFree;[T] Deloading:InvertOutletFree;[T] Deloading:InvertOutletFree;[T] Deloading:InvertOutletFree;[T] Deloading:InvertOutletFree;[T] Deloading:InvertOutletFree
g_MCfg.Deloading.KG.HangerClampDelay;73;0;[T] Deloading:KGHangerClampDelay;[T] Deloading:KGHangerClampDelay;[T] Deloading:KGHangerClampDelay;[T] Deloading:KGHangerClampDelay;[T] Deloading:KGHangerClampDelay;[T] Deloading:KGHangerClampDelay;[T] Deloading:KGHangerClampDelay;[T] Deloading:KGHangerClampDelay;[T] Deloading:KGHangerClampDelay;[T] Deloading:KGHangerClampDelay;[T] Deloading:KGHangerClampDelay;[T] Deloading:KGHangerClampDelay;[T] Deloading:KGHangerClampDelay
g_MCfg.Deloading.KG.OpenHangerTimeOn;74;0;[T] Deloading:KGOpenHangerTimeOn;[T] Deloading:KGOpenHangerTimeOn;[T] Deloading:KGOpenHangerTimeOn;[T] Deloading:KGOpenHangerTimeOn;[T] Deloading:KGOpenHangerTimeOn;[T] Deloading:KGOpenHangerTimeOn;[T] Deloading:KGOpenHangerTimeOn;[T] Deloading:KGOpenHangerTimeOn;[T] Deloading:KGOpenHangerTimeOn;[T] Deloading:KGOpenHangerTimeOn;[T] Deloading:KGOpenHangerTimeOn;[T] Deloading:KGOpenHangerTimeOn;[T] Deloading:KGOpenHangerTimeOn
g_MCfg.Deloading.KG.OpenHangerDelay;75;0;[T] Deloading:KGOpenHangerDelay;[T] Deloading:KGOpenHangerDelay;[T] Deloading:KGOpenHangerDelay;[T] Deloading:KGOpenHangerDelay;[T] Deloading:KGOpenHangerDelay;[T] Deloading:KGOpenHangerDelay;[T] Deloading:KGOpenHangerDelay;[T] Deloading:KGOpenHangerDelay;[T] Deloading:KGOpenHangerDelay;[T] Deloading:KGOpenHangerDelay;[T] Deloading:KGOpenHangerDelay;[T] Deloading:KGOpenHangerDelay;[T] Deloading:KGOpenHangerDelay
g_MCfg.Deloading.KG.StopExtMotorDelay;76;0;[T] Deloading:KGStopExtMotorDelay;[T] Deloading:KGStopExtMotorDelay;[T] Deloading:KGStopExtMotorDelay;[T] Deloading:KGStopExtMotorDelay;[T] Deloading:KGStopExtMotorDelay;[T] Deloading:KGStopExtMotorDelay;[T] Deloading:KGStopExtMotorDelay;[T] Deloading:KGStopExtMotorDelay;[T] Deloading:KGStopExtMotorDelay;[T] Deloading:KGStopExtMotorDelay;[T] Deloading:KGStopExtMotorDelay;[T] Deloading:KGStopExtMotorDelay;[T] Deloading:KGStopExtMotorDelay
g_MCfg.Deloading.KG.StopExtMotorTimeOn;77;0;[T] Deloading:KGStopExtMotorTimeOn;[T] Deloading:KGStopExtMotorTimeOn;[T] Deloading:KGStopExtMotorTimeOn;[T] Deloading:KGStopExtMotorTimeOn;[T] Deloading:KGStopExtMotorTimeOn;[T] Deloading:KGStopExtMotorTimeOn;[T] Deloading:KGStopExtMotorTimeOn;[T] Deloading:KGStopExtMotorTimeOn;[T] Deloading:KGStopExtMotorTimeOn;[T] Deloading:KGStopExtMotorTimeOn;[T] Deloading:KGStopExtMotorTimeOn;[T] Deloading:KGStopExtMotorTimeOn;[T] Deloading:KGStopExtMotorTimeOn
g_MCfg.TC.TurnerDistancePh;78;0;[T] TC:TurnerDistancePh;[T] TC:TurnerDistancePh;[T] TC:TurnerDistancePh;[T] TC:TurnerDistancePh;[T] TC:TurnerDistancePh;[T] TC:TurnerDistancePh;[T] TC:TurnerDistancePh;[T] TC:TurnerDistancePh;[T] TC:TurnerDistancePh;[T] TC:TurnerDistancePh;[T] TC:TurnerDistancePh;[T] TC:TurnerDistancePh;[T] TC:TurnerDistancePh
g_MCfg.TC.DelayStartInfeed;79;0;[T] TC:DelayStartInfeed;[T] TC:DelayStartInfeed;[T] TC:DelayStartInfeed;[T] TC:DelayStartInfeed;[T] TC:DelayStartInfeed;[T] TC:DelayStartInfeed;[T] TC:DelayStartInfeed;[T] TC:DelayStartInfeed;[T] TC:DelayStartInfeed;[T] TC:DelayStartInfeed;[T] TC:DelayStartInfeed;[T] TC:DelayStartInfeed;[T] TC:DelayStartInfeed
g_MCfg.TC.InfeedBeltOnTime;80;0;[T] TC:InfeedBeltOnTime;[T] TC:InfeedBeltOnTime;[T] TC:InfeedBeltOnTime;[T] TC:InfeedBeltOnTime;[T] TC:InfeedBeltOnTime;[T] TC:InfeedBeltOnTime;[T] TC:InfeedBeltOnTime;[T] TC:InfeedBeltOnTime;[T] TC:InfeedBeltOnTime;[T] TC:InfeedBeltOnTime;[T] TC:InfeedBeltOnTime;[T] TC:InfeedBeltOnTime;[T] TC:InfeedBeltOnTime
g_MCfg.LFold.LiftBladesTime;81;0;[T] LFold:LiftBladesTime;[T] LFold:LiftBladesTime;[T] LFold:LiftBladesTime;[T] LFold:LiftBladesTime;[T] LFold:LiftBladesTime;[T] LFold:LiftBladesTime;[T] LFold:LiftBladesTime;[T] LFold:LiftBladesTime;[T] LFold:LiftBladesTime;[T] LFold:LiftBladesTime;[T] LFold:LiftBladesTime;[T] LFold:LiftBladesTime;[T] LFold:LiftBladesTime
g_MCfg.LFold.BladeBackTime;82;0;[T] LFold:BladeBackTime;[T] LFold:BladeBackTime;[T] LFold:BladeBackTime;[T] LFold:BladeBackTime;[T] LFold:BladeBackTime;[T] LFold:BladeBackTime;[T] LFold:BladeBackTime;[T] LFold:BladeBackTime;[T] LFold:BladeBackTime;[T] LFold:BladeBackTime;[T] LFold:BladeBackTime;[T] LFold:BladeBackTime;[T] LFold:BladeBackTime
g_MCfg.LFold.FoldPosition;83;0;[T] LFold:FoldPosition;[T] LFold:FoldPosition;[T] LFold:FoldPosition;[T] LFold:FoldPosition;[T] LFold:FoldPosition;[T] LFold:FoldPosition;[T] LFold:FoldPosition;[T] LFold:FoldPosition;[T] LFold:FoldPosition;[T] LFold:FoldPosition;[T] LFold:FoldPosition;[T] LFold:FoldPosition;[T] LFold:FoldPosition
g_MCfg.LFold.DistanceIBLA_FoldPoint;84;0;[T] LFold:DistanceIBLA_FoldPoint;[T] LFold:DistanceIBLA_FoldPoint;[T] LFold:DistanceIBLA_FoldPoint;[T] LFold:DistanceIBLA_FoldPoint;[T] LFold:DistanceIBLA_FoldPoint;[T] LFold:DistanceIBLA_FoldPoint;[T] LFold:DistanceIBLA_FoldPoint;[T] LFold:DistanceIBLA_FoldPoint;[T] LFold:DistanceIBLA_FoldPoint;[T] LFold:DistanceIBLA_FoldPoint;[T] LFold:DistanceIBLA_FoldPoint;[T] LFold:DistanceIBLA_FoldPoint;[T] LFold:DistanceIBLA_FoldPoint
g_MCfg.LFold.WidthIncrementOffset;85;0;[T] LFold:WidthIncrementOffset;[T] LFold:WidthIncrementOffset;[T] LFold:WidthIncrementOffset;[T] LFold:WidthIncrementOffset;[T] LFold:WidthIncrementOffset;[T] LFold:WidthIncrementOffset;[T] LFold:WidthIncrementOffset;[T] LFold:WidthIncrementOffset;[T] LFold:WidthIncrementOffset;[T] LFold:WidthIncrementOffset;[T] LFold:WidthIncrementOffset;[T] LFold:WidthIncrementOffset;[T] LFold:WidthIncrementOffset
g_MCfg.XFold.XAMotorStoptime;86;0;[T] XFold:XAMotorStoptime;[T] XFold:XAMotorStoptime;[T] XFold:XAMotorStoptime;[T] XFold:XAMotorStoptime;[T] XFold:XAMotorStoptime;[T] XFold:XAMotorStoptime;[T] XFold:XAMotorStoptime;[T] XFold:XAMotorStoptime;[T] XFold:XAMotorStoptime;[T] XFold:XAMotorStoptime;[T] XFold:XAMotorStoptime;[T] XFold:XAMotorStoptime;[T] XFold:XAMotorStoptime
g_MCfg.XFold.StartXAOffsetValue;87;0;[T] XFold:StartXAOffsetValue;[T] XFold:StartXAOffsetValue;[T] XFold:StartXAOffsetValue;[T] XFold:StartXAOffsetValue;[T] XFold:StartXAOffsetValue;[T] XFold:StartXAOffsetValue;[T] XFold:StartXAOffsetValue;[T] XFold:StartXAOffsetValue;[T] XFold:StartXAOffsetValue;[T] XFold:StartXAOffsetValue;[T] XFold:StartXAOffsetValue;[T] XFold:StartXAOffsetValue;[T] XFold:StartXAOffsetValue
g_MCfg.XFold.DistanceXB_FoldPoint;88;0;[T] XFold:DistanceXB_FoldPoint;[T] XFold:DistanceXB_FoldPoint;[T] XFold:DistanceXB_FoldPoint;[T] XFold:DistanceXB_FoldPoint;[T] XFold:DistanceXB_FoldPoint;[T] XFold:DistanceXB_FoldPoint;[T] XFold:DistanceXB_FoldPoint;[T] XFold:DistanceXB_FoldPoint;[T] XFold:DistanceXB_FoldPoint;[T] XFold:DistanceXB_FoldPoint;[T] XFold:DistanceXB_FoldPoint;[T] XFold:DistanceXB_FoldPoint;[T] XFold:DistanceXB_FoldPoint
g_MCfg.XFold.CrossBExtraRewerseTime;89;0;[T] XFold:CrossBExtraRewerseTime;[T] XFold:CrossBExtraRewerseTime;[T] XFold:CrossBExtraRewerseTime;[T] XFold:CrossBExtraRewerseTime;[T] XFold:CrossBExtraRewerseTime;[T] XFold:CrossBExtraRewerseTime;[T] XFold:CrossBExtraRewerseTime;[T] XFold:CrossBExtraRewerseTime;[T] XFold:CrossBExtraRewerseTime;[T] XFold:CrossBExtraRewerseTime;[T] XFold:CrossBExtraRewerseTime;[T] XFold:CrossBExtraRewerseTime;[T] XFold:CrossBExtraRewerseTime
g_MCfg.XFold.DistanceXBFoldPoint_XBExit;90;0;[T] XFold:DistanceXBFoldPoint_XBExit;[T] XFold:DistanceXBFoldPoint_XBExit;[T] XFold:DistanceXBFoldPoint_XBExit;[T] XFold:DistanceXBFoldPoint_XBExit;[T] XFold:DistanceXBFoldPoint_XBExit;[T] XFold:DistanceXBFoldPoint_XBExit;[T] XFold:DistanceXBFoldPoint_XBExit;[T] XFold:DistanceXBFoldPoint_XBExit;[T] XFold:DistanceXBFoldPoint_XBExit;[T] XFold:DistanceXBFoldPoint_XBExit;[T] XFold:DistanceXBFoldPoint_XBExit;[T] XFold:DistanceXBFoldPoint_XBExit;[T] XFold:DistanceXBFoldPoint_XBExit
g_MCfg.XFold.CrossAByPassPrestartFoldPoint;91;0;[T] XFold:CrossAByPassPrestartFoldPoint;[T] XFold:CrossAByPassPrestartFoldPoint;[T] XFold:CrossAByPassPrestartFoldPoint;[T] XFold:CrossAByPassPrestartFoldPoint;[T] XFold:CrossAByPassPrestartFoldPoint;[T] XFold:CrossAByPassPrestartFoldPoint;[T] XFold:CrossAByPassPrestartFoldPoint;[T] XFold:CrossAByPassPrestartFoldPoint;[T] XFold:CrossAByPassPrestartFoldPoint;[T] XFold:CrossAByPassPrestartFoldPoint;[T] XFold:CrossAByPassPrestartFoldPoint;[T] XFold:CrossAByPassPrestartFoldPoint;[T] XFold:CrossAByPassPrestartFoldPoint
g_MCfg.XFold.CrossBByPassPrestartFoldPoint;92;0;[T] XFold:CrossBByPassPrestartFoldPoint;[T] XFold:CrossBByPassPrestartFoldPoint;[T] XFold:CrossBByPassPrestartFoldPoint;[T] XFold:CrossBByPassPrestartFoldPoint;[T] XFold:CrossBByPassPrestartFoldPoint;[T] XFold:CrossBByPassPrestartFoldPoint;[T] XFold:CrossBByPassPrestartFoldPoint;[T] XFold:CrossBByPassPrestartFoldPoint;[T] XFold:CrossBByPassPrestartFoldPoint;[T] XFold:CrossBByPassPrestartFoldPoint;[T] XFold:CrossBByPassPrestartFoldPoint;[T] XFold:CrossBByPassPrestartFoldPoint;[T] XFold:CrossBByPassPrestartFoldPoint
g_MCfg.XFold.FixedDimSpeedFactor;93;0;[T] XFold:FixedDimSpeedFactor;[T] XFold:FixedDimSpeedFactor;[T] XFold:FixedDimSpeedFactor;[T] XFold:FixedDimSpeedFactor;[T] XFold:FixedDimSpeedFactor;[T] XFold:FixedDimSpeedFactor;[T] XFold:FixedDimSpeedFactor;[T] XFold:FixedDimSpeedFactor;[T] XFold:FixedDimSpeedFactor;[T] XFold:FixedDimSpeedFactor;[T] XFold:FixedDimSpeedFactor;[T] XFold:FixedDimSpeedFactor;[T] XFold:FixedDimSpeedFactor
g_MCfg.Stacker.BeltSpeedFactor;94;0;[T] Stacker:BeltSpeedFactor;[T] Stacker:BeltSpeedFactor;[T] Stacker:BeltSpeedFactor;[T] Stacker:BeltSpeedFactor;[T] Stacker:BeltSpeedFactor;[T] Stacker:BeltSpeedFactor;[T] Stacker:BeltSpeedFactor;[T] Stacker:BeltSpeedFactor;[T] Stacker:BeltSpeedFactor;[T] Stacker:BeltSpeedFactor;[T] Stacker:BeltSpeedFactor;[T] Stacker:BeltSpeedFactor;[T] Stacker:BeltSpeedFactor
g_MCfg.Stacker.StartPosition[0];95;0;[T] Stacker:StartPosition[0];[T] Stacker:StartPosition[0];[T] Stacker:StartPosition[0];[T] Stacker:StartPosition[0];[T] Stacker:StartPosition[0];[T] Stacker:StartPosition[0];[T] Stacker:StartPosition[0];[T] Stacker:StartPosition[0];[T] Stacker:StartPosition[0];[T] Stacker:StartPosition[0];[T] Stacker:StartPosition[0];[T] Stacker:StartPosition[0];[T] Stacker:StartPosition[0]
g_MCfg.Stacker.StartPosition[1];96;0;[T] Stacker:StartPosition[1];[T] Stacker:StartPosition[1];[T] Stacker:StartPosition[1];[T] Stacker:StartPosition[1];[T] Stacker:StartPosition[1];[T] Stacker:StartPosition[1];[T] Stacker:StartPosition[1];[T] Stacker:StartPosition[1];[T] Stacker:StartPosition[1];[T] Stacker:StartPosition[1];[T] Stacker:StartPosition[1];[T] Stacker:StartPosition[1];[T] Stacker:StartPosition[1]
g_MCfg.Stacker.StartPosition[2];97;0;[T] Stacker:StartPosition[2];[T] Stacker:StartPosition[2];[T] Stacker:StartPosition[2];[T] Stacker:StartPosition[2];[T] Stacker:StartPosition[2];[T] Stacker:StartPosition[2];[T] Stacker:StartPosition[2];[T] Stacker:StartPosition[2];[T] Stacker:StartPosition[2];[T] Stacker:StartPosition[2];[T] Stacker:StartPosition[2];[T] Stacker:StartPosition[2];[T] Stacker:StartPosition[2]
g_MCfg.Stacker.StartPosition[3];98;0;[T] Stacker:StartPosition[3];[T] Stacker:StartPosition[3];[T] Stacker:StartPosition[3];[T] Stacker:StartPosition[3];[T] Stacker:StartPosition[3];[T] Stacker:StartPosition[3];[T] Stacker:StartPosition[3];[T] Stacker:StartPosition[3];[T] Stacker:StartPosition[3];[T] Stacker:StartPosition[3];[T] Stacker:StartPosition[3];[T] Stacker:StartPosition[3];[T] Stacker:StartPosition[3]
g_MCfg.Stacker.StartPosition[4];99;0;[T] Stacker:StartPosition[4];[T] Stacker:StartPosition[4];[T] Stacker:StartPosition[4];[T] Stacker:StartPosition[4];[T] Stacker:StartPosition[4];[T] Stacker:StartPosition[4];[T] Stacker:StartPosition[4];[T] Stacker:StartPosition[4];[T] Stacker:StartPosition[4];[T] Stacker:StartPosition[4];[T] Stacker:StartPosition[4];[T] Stacker:StartPosition[4];[T] Stacker:StartPosition[4]
g_MCfg.Stacker.StartPosition[5];100;0;[T] Stacker:StartPosition[5];[T] Stacker:StartPosition[5];[T] Stacker:StartPosition[5];[T] Stacker:StartPosition[5];[T] Stacker:StartPosition[5];[T] Stacker:StartPosition[5];[T] Stacker:StartPosition[5];[T] Stacker:StartPosition[5];[T] Stacker:StartPosition[5];[T] Stacker:StartPosition[5];[T] Stacker:StartPosition[5];[T] Stacker:StartPosition[5];[T] Stacker:StartPosition[5]
g_MCfg.Stacker.StartPosition[6];101;0;[T] Stacker:StartPosition[6];[T] Stacker:StartPosition[6];[T] Stacker:StartPosition[6];[T] Stacker:StartPosition[6];[T] Stacker:StartPosition[6];[T] Stacker:StartPosition[6];[T] Stacker:StartPosition[6];[T] Stacker:StartPosition[6];[T] Stacker:StartPosition[6];[T] Stacker:StartPosition[6];[T] Stacker:StartPosition[6];[T] Stacker:StartPosition[6];[T] Stacker:StartPosition[6]
g_MCfg.Stacker.StartPosition[7];102;0;[T] Stacker:StartPosition[7];[T] Stacker:StartPosition[7];[T] Stacker:StartPosition[7];[T] Stacker:StartPosition[7];[T] Stacker:StartPosition[7];[T] Stacker:StartPosition[7];[T] Stacker:StartPosition[7];[T] Stacker:StartPosition[7];[T] Stacker:StartPosition[7];[T] Stacker:StartPosition[7];[T] Stacker:StartPosition[7];[T] Stacker:StartPosition[7];[T] Stacker:StartPosition[7]
